id_escenario,escenario,recargo_entrega_ilustrativo_fraccion,participacion_gasolina_en_p068,grupo_analitico,descripcion,codigo_inicio,codigo_fin,numero_productos,produccion_base_millones_q_2013,efecto_precio_ponderado_produccion_pct,efecto_precio_minimo_producto_pct,efecto_precio_maximo_producto_pct
E15_r15_p068_450,E15,0.15,0.45,manufactura_otros_y_refinacion,"Textiles, cuero, madera, papel, edición, impresión y refinación.",P059,P070,12,24472.43089526476,0.009142667588783378,0.0,0.021256261494675206
E15_r15_p068_450,E15,0.15,0.45,quimica_farmaceutica,"Fertilizantes, pinturas, limpieza, otros químicos y farmacéuticos.",P071,P075,5,15290.689256096739,0.007190526893134081,0.002811988878623547,0.015868956633877808
E15_r15_p068_450,E15,0.15,0.45,otras_manufacturas,"Caucho, plástico, minerales no metálicos, metales, maquinaria, equipo, muebles y otros.",P076,P094,19,37622.85104702268,0.009552661713771112,0.0,0.03711639220633188
E15_r15_p068_450,E15,0.15,0.45,electricidad_agua_desechos,"Electricidad, gas, agua y gestión de desechos.",P095,P097,3,18377.121163366268,0.03120250149122021,0.019177322941211807,0.03429049540777141
E15_r15_p068_450,E15,0.15,0.45,construccion,"Edificaciones, obras civiles y servicios de construcción.",P098,P101,4,42692.54198585462,0.008828721962508397,0.005093916570470645,0.01309092569304038
E15_r15_p068_450,E15,0.15,0.45,comercio_reparacion,Comercio y reparación de vehículos.,P102,P103,2,110301.56241488637,0.007276609975266141,0.006839868588712668,0.012673448097123126
E15_r15_p068_450,E15,0.15,0.45,transporte_logistica,"Transporte de pasajeros y carga, almacenamiento, apoyo, correo y mensajería.",P104,P109,6,25090.974998895443,0.050493958797892535,0.004735705917275563,0.06838699794191595
E15_r15_p068_450,E15,0.15,0.45,alojamiento_comidas,Alojamiento y suministro de comidas y bebidas.,P110,P111,2,29302.71482493113,0.006379819084146599,0.006064653225715581,0.010988932205676285
E15_r15_p068_450,E15,0.15,0.45,servicios_privados,"Información, finanzas, inmobiliarios, profesionales, administrativos y otros servicios de mercado.",P112,P136,25,144897.2483061703,0.004026230186937644,0.0005451543208762459,0.011218979259018054
E15_r15_p068_450,E15,0.15,0.45,servicios_publicos_sociales,"Gobierno, enseñanza, salud, cultura, asociaciones y servicios domésticos.",P137,P150,14,78471.62944532983,0.004949367326898768,0.0,0.016214353100047072
E15_r15_p068_450,E15,0.15,0.45,ajustes_comercio_exterior,Compras directas de residentes y no residentes.,P151,P152,2,0.0,0.0,0.0,0.0
E15_r15_p068_502,E15,0.15,0.502,agricultura_pesca_silvicultura,"Agricultura, ganadería, silvicultura y pesca.",P001,P030,30,74663.33847793967,0.009005182106740551,0.0019684703866434364,0.07734282046175014
E15_r15_p068_502,E15,0.15,0.502,mineria,"Petróleo crudo, gas natural y minerales.",P031,P033,3,8450.23278764872,0.017647144284579058,0.010478261079350126,0.02645267280179027
E15_r15_p068_502,E15,0.15,0.502,alimentos_bebidas_tabaco,"Alimentos procesados, bebidas y tabaco.",P034,P058,25,85313.2317468036,0.011072958727028782,0.003626054957839329,0.02188211508879468
E15_r15_p068_502,E15,0.15,0.502,manufactura_otros_y_refinacion,"Textiles, cuero, madera, papel, edición, impresión y refinación.",P059,P070,12,24472.43089526476,0.01019915362126501,0.0,0.023712540600726566
E15_r15_p068_502,E15,0.15,0.502,quimica_farmaceutica,"Fertilizantes, pinturas, limpieza, otros químicos y farmacéuticos.",P071,P075,5,15290.689256096739,0.008021432223007352,0.0031369298157089345,0.017702702733792576
